stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
TEC:Bbeamon2,Beauvechain Monument,50.780703,4.77566,0,stoparea:TEC:Bbeamon,,1,,
TEC:Bbeaneu3,Beauvechain Rue Neuve,50.758664,4.782372,0,stoparea:TEC:Bbeaneu,,1,,
TEC:Bbeaneu4,Beauvechain Rue Neuve,50.758457,4.782356,0,stoparea:TEC:Bbeaneu,,1,,
TEC:Bbeapim1,Beauvechain Rue de Pymont,50.779165,4.781219,0,stoparea:TEC:Bbeapim,,1,,
TEC:Bbeapim2,Beauvechain Rue de Pymont,50.779237,4.781107,0,stoparea:TEC:Bbeapim,,1,,
TEC:Bbeardu1,Beauvechain Rue Duchêne,50.768683,4.796182,0,stoparea:TEC:Bbeardu,,1,,
TEC:Bbeardu2,Beauvechain Rue Duchêne,50.768574,4.796238,0,stoparea:TEC:Bbeardu,,1,,
TEC:Bbearwa1,Beauvechain Rue de Wahenge,50.767081,4.791561,0,stoparea:TEC:Bbearwa,,1,,
TEC:Bbearwa2,Beauvechain Rue de Wahenge,50.766928,4.791531,0,stoparea:TEC:Bbearwa,,1,,
TEC:Bbeascl1,Beauvechain Sclimpré,50.763991,4.812639,0,stoparea:TEC:Bbeascl,,1,,
TEC:Bbeascl2,Beauvechain Sclimpré,50.763884,4.812638,0,stoparea:TEC:Bbeascl,,1,,
TEC:Bbeasta1,Beauvechain Rue de la Station,50.779011,4.771123,0,stoparea:TEC:Bbeasta,,1,,
TEC:Bbeasta2,Beauvechain Rue de la Station,50.77919,4.771209,0,stoparea:TEC:Bbeasta,,1,,
TEC:Bbeubos1,Beuzet Route de Bossière,50.532667,4.74104,0,stoparea:TEC:Bbeubos,,1,,
TEC:Bbeubos2,Beuzet Route de Bossière,50.532541,4.741053,0,stoparea:TEC:Bbeubos,,1,,
TEC:Bbgeegl1,Bierges Eglise,50.711352,4.589936,0,stoparea:TEC:Bbgeegl,,1,,
TEC:Bbgeegl2,Bierges Eglise,50.711308,4.589157,0,stoparea:TEC:Bbgeegl,,1,,
TEC:Bbgelre1,Bierges La Réserve,50.701996,4.615613,0,stoparea:TEC:Bbgelre,,1,,
TEC:Bbgelre2,Bierges La Réserve,50.701942,4.615386,0,stoparea:TEC:Bbgelre,,1,,
TEC:Bbgepau1,Bierges Pont Autoroute,50.712761,4.600194,0,stoparea:TEC:Bbgepau,,1,,
TEC:Bbgepau2,Bierges Pont Autoroute,50.712564,4.599768,0,stoparea:TEC:Bbgepau,,1,,
TEC:Bbgerlr1,Bierges Rue de La Roche,50.71358,4.580785,0,stoparea:TEC:Bbgerlr,,1,,
TEC:Bbgerlr2,Bierges Rue de La Roche,50.713463,4.58104,0,stoparea:TEC:Bbgerlr,,1,,
TEC:Bbgever1,Bierges Verseau,50.722434,4.581661,0,stoparea:TEC:Bbgever,,1,,
TEC:Bbgever2,Bierges Verseau,50.7222,4.58173,0,stoparea:TEC:Bbgever,,1,,
TEC:Bbgevil1,Bierges Village,50.708807,4.594992,0,stoparea:TEC:Bbgevil,,1,,
TEC:Bbgevil2,Bierges Village,50.708288,4.593801,0,stoparea:TEC:Bbgevil,,1,,
