service_id,date,exception_type
6074:TEC:BW:27,20180703,1
6074:TEC:BW:27,20180704,1
6074:TEC:BW:27,20180705,1
6074:TEC:BW:27,20180706,1
6074:TEC:BW:27,20180709,1
6074:TEC:BW:27,20180710,1
6074:TEC:BW:27,20180711,1
6074:TEC:BW:27,20180712,1
6074:TEC:BW:27,20180713,1
6074:TEC:BW:27,20180716,1
6074:TEC:BW:27,20180717,1
6074:TEC:BW:27,20180718,1
6074:TEC:BW:27,20180719,1
6074:TEC:BW:27,20180720,1
6074:TEC:BW:27,20180723,1
6074:TEC:BW:27,20180724,1
6074:TEC:BW:27,20180725,1
6074:TEC:BW:27,20180726,1
6074:TEC:BW:27,20180727,1
6074:TEC:BW:27,20180730,1
6074:TEC:BW:27,20180731,1
6074:TEC:BW:27,20180801,1
6074:TEC:BW:27,20180802,1
6074:TEC:BW:27,20180803,1
6074:TEC:BW:27,20180806,1
6074:TEC:BW:27,20180807,1
6074:TEC:BW:27,20180808,1
6074:TEC:BW:27,20180809,1
6074:TEC:BW:27,20180810,1
6074:TEC:BW:27,20180813,1
6074:TEC:BW:27,20180814,1
6074:TEC:BW:27,20180816,1
6074:TEC:BW:27,20180817,1
6074:TEC:BW:27,20180820,1
6074:TEC:BW:27,20180821,1
6074:TEC:BW:27,20180822,1
6074:TEC:BW:27,20180823,1
6074:TEC:BW:27,20180824,1
6074:TEC:BW:28,20180704,1
6074:TEC:BW:28,20180711,1
6074:TEC:BW:28,20180718,1
6074:TEC:BW:28,20180725,1
6074:TEC:BW:28,20180801,1
6074:TEC:BW:28,20180808,1
6074:TEC:BW:28,20180822,1
6074:TEC:BW:29,20180702,1
6074:TEC:BW:29,20180705,1
6074:TEC:BW:29,20180706,1
6074:TEC:BW:29,20180709,1
6074:TEC:BW:29,20180712,1
6074:TEC:BW:29,20180713,1
6074:TEC:BW:29,20180716,1
6074:TEC:BW:29,20180719,1
6074:TEC:BW:29,20180720,1
6074:TEC:BW:29,20180723,1
6074:TEC:BW:29,20180726,1
6074:TEC:BW:29,20180727,1
6074:TEC:BW:29,20180730,1
6074:TEC:BW:29,20180802,1
6074:TEC:BW:29,20180803,1
6074:TEC:BW:29,20180806,1
6074:TEC:BW:29,20180809,1
6074:TEC:BW:29,20180810,1
6074:TEC:BW:29,20180813,1
6074:TEC:BW:29,20180816,1
6074:TEC:BW:29,20180817,1
6074:TEC:BW:29,20180820,1
6074:TEC:BW:29,20180823,1
6074:TEC:BW:29,20180824,1
6074:TEC:BW:41,20180528,1
6074:TEC:BW:41,20180529,1
6074:TEC:BW:41,20180530,1
6074:TEC:BW:41,20180531,1
6074:TEC:BW:41,20180604,1
6074:TEC:BW:41,20180605,1
6074:TEC:BW:41,20180606,1
6074:TEC:BW:41,20180607,1
6074:TEC:BW:41,20180611,1
6074:TEC:BW:41,20180612,1
6074:TEC:BW:41,20180613,1
6074:TEC:BW:41,20180614,1
6074:TEC:BW:41,20180618,1
6074:TEC:BW:41,20180619,1
6074:TEC:BW:41,20180620,1
6074:TEC:BW:41,20180621,1
6074:TEC:BW:41,20180625,1
6074:TEC:BW:41,20180626,1
6074:TEC:BW:41,20180627,1
6074:TEC:BW:41,20180628,1
6074:TEC:BW:48,20180531,1
6074:TEC:BW:48,20180607,1
6074:TEC:BW:48,20180614,1
6074:TEC:BW:48,20180621,1
6074:TEC:BW:48,20180628,1
6074:TEC:BW:49,20180528,1
6074:TEC:BW:49,20180529,1
6074:TEC:BW:49,20180530,1
6074:TEC:BW:49,20180601,1
6074:TEC:BW:49,20180604,1
6074:TEC:BW:49,20180605,1
6074:TEC:BW:49,20180606,1
6074:TEC:BW:49,20180608,1
6074:TEC:BW:49,20180611,1
6074:TEC:BW:49,20180612,1
6074:TEC:BW:49,20180613,1
6074:TEC:BW:49,20180615,1
6074:TEC:BW:49,20180618,1
6074:TEC:BW:49,20180619,1
6074:TEC:BW:49,20180620,1
6074:TEC:BW:49,20180622,1
6074:TEC:BW:49,20180625,1
6074:TEC:BW:49,20180626,1
6074:TEC:BW:49,20180627,1
6074:TEC:BW:49,20180629,1
6074:TEC:BW:37,20180703,1
6074:TEC:BW:37,20180704,1
6074:TEC:BW:37,20180706,1
6074:TEC:BW:37,20180710,1
6074:TEC:BW:37,20180711,1
6074:TEC:BW:37,20180713,1
6074:TEC:BW:37,20180717,1
6074:TEC:BW:37,20180718,1
6074:TEC:BW:37,20180720,1
6074:TEC:BW:37,20180724,1
6074:TEC:BW:37,20180725,1
6074:TEC:BW:37,20180727,1
6074:TEC:BW:37,20180731,1
6074:TEC:BW:37,20180801,1
6074:TEC:BW:37,20180803,1
6074:TEC:BW:37,20180807,1
6074:TEC:BW:37,20180808,1
6074:TEC:BW:37,20180810,1
